Intel MKL WARNING: Support of Intel(R) Streaming SIMD Extensions 4.2 (Intel(R) SSE4.2) enabled only processors has been deprecated. Intel oneAPI Math Kernel Library 2025.0 will require Intel(R) Advanced Vector Extensions (Intel(R) AVX) instructions.
Intel MKL WARNING: Support of Intel(R) Streaming SIMD Extensions 4.2 (Intel(R) SSE4.2) enabled only processors has been deprecated. Intel oneAPI Math Kernel Library 2025.0 will require Intel(R) Advanced Vector Extensions (Intel(R) AVX) instructions.
Being solved by ECOS...

ECOS 2.0.10 - (C) embotech GmbH, Zurich Switzerland, 2012-15. Web: www.embotech.com/ECOS

It     pcost       dcost      gap   pres   dres    k/t    mu     step   sigma     IR    |   BT
 0  +7.190e+03  -2.352e+05  +5e+07  3e-01  9e-01  1e+00  1e+02    ---    ---    2  2  - |  -  - 
 1  -1.151e+04  -2.536e+05  +5e+07  7e-02  9e-01  4e+00  1e+02  0.0251  1e+00   2  2  2 |  0  0
 2  -2.648e+05  -3.130e+05  +2e+07  1e-03  2e-01  2e+01  5e+01  0.9890  4e-01   2  3  2 |  0  0
 3  -1.701e+04  -2.072e+04  +3e+06  6e-04  1e-02  2e+00  6e+00  0.9125  4e-02   2  2  3 |  0  0
 4  -1.488e+03  -2.366e+03  +7e+05  5e-04  2e-03  5e-01  1e+00  0.8010  8e-02   3  3  3 |  0  0
 5  +5.470e+02  +4.166e+01  +4e+05  4e-04  1e-03  3e-01  9e-01  0.5277  2e-01   2  2  2 |  0  0
 6  +3.107e+03  +2.839e+03  +2e+05  2e-04  7e-04  1e-01  4e-01  0.6262  2e-01   2  2  1 |  0  0
 7  +3.450e+03  +3.292e+03  +1e+05  1e-04  4e-04  5e-02  3e-01  0.5560  3e-01   1  1  1 |  0  0
 8  +3.644e+03  +3.541e+03  +8e+04  7e-05  3e-04  3e-02  2e-01  0.5872  4e-01   2  1  1 |  0  0
 9  +3.693e+03  +3.605e+03  +7e+04  6e-05  2e-04  2e-02  1e-01  0.3260  6e-01   1  1  1 |  0  0
10  +3.733e+03  +3.663e+03  +5e+04  5e-05  2e-04  1e-02  1e-01  0.3735  4e-01   1  1  1 |  0  0
11  +3.777e+03  +3.735e+03  +3e+04  3e-05  1e-04  8e-03  7e-02  0.5036  2e-01   1  1  1 |  0  0
12  +3.796e+03  +3.759e+03  +3e+04  3e-05  1e-04  6e-03  6e-02  0.2859  6e-01   1  1  1 |  0  0
13  +3.833e+03  +3.809e+03  +2e+04  2e-05  7e-05  4e-03  4e-02  0.4355  2e-01   1  1  1 |  0  0
14  +3.852e+03  +3.831e+03  +2e+04  1e-05  6e-05  3e-03  3e-02  0.2875  5e-01   1  1  1 |  0  0
15  +3.884e+03  +3.869e+03  +1e+04  1e-05  4e-05  2e-03  2e-02  0.3581  2e-01   1  1  1 |  0  0
16  +3.883e+03  +3.869e+03  +1e+04  1e-05  4e-05  2e-03  2e-02  0.0155  1e+00   1  1  1 |  0  0
17  +3.895e+03  +3.882e+03  +9e+03  8e-06  3e-05  2e-03  2e-02  0.4981  7e-01   1  1  1 |  0  0
18  +3.894e+03  +3.882e+03  +9e+03  8e-06  3e-05  2e-03  2e-02  0.0935  9e-01   1  1  1 |  0  0
19  +3.901e+03  +3.889e+03  +8e+03  8e-06  3e-05  1e-03  2e-02  0.1751  5e-01   1  1  1 |  0  0
