Intel MKL WARNING: Support of Intel(R) Streaming SIMD Extensions 4.2 (Intel(R) SSE4.2) enabled only processors has been deprecated. Intel oneAPI Math Kernel Library 2025.0 will require Intel(R) Advanced Vector Extensions (Intel(R) AVX) instructions.
Intel MKL WARNING: Support of Intel(R) Streaming SIMD Extensions 4.2 (Intel(R) SSE4.2) enabled only processors has been deprecated. Intel oneAPI Math Kernel Library 2025.0 will require Intel(R) Advanced Vector Extensions (Intel(R) AVX) instructions.
Being solved by ECOS...

ECOS 2.0.10 - (C) embotech GmbH, Zurich Switzerland, 2012-15. Web: www.embotech.com/ECOS

It     pcost       dcost      gap   pres   dres    k/t    mu     step   sigma     IR    |   BT
 0  +7.105e+03  -2.084e+05  +3e+07  3e-01  8e-01  1e+00  1e+02    ---    ---    1  3  - |  -  - 
 1  -1.724e+04  -2.313e+05  +3e+07  6e-02  8e-01  4e+00  1e+02  0.0301  1e+00   1  2  1 |  0  0
 2  -2.511e+05  -2.844e+05  +1e+07  7e-04  1e-01  2e+01  5e+01  0.9890  4e-01   2  2  2 |  0  0
 3  -9.627e+03  -1.246e+04  +1e+06  6e-04  9e-03  2e+00  6e+00  0.8961  2e-02   3  2  2 |  0  0
 4  -2.127e+03  -3.253e+03  +6e+05  6e-04  4e-03  6e-01  2e+00  0.6586  1e-01   3  1  2 |  0  0
 5  +1.929e+02  -3.591e+02  +3e+05  4e-04  2e-03  3e-01  1e+00  0.5784  1e-01   2  1  2 |  0  0
 6  +2.845e+03  +2.541e+03  +2e+05  2e-04  9e-04  1e-01  6e-01  0.6564  3e-01   1  1  1 |  0  0
 7  +3.183e+03  +3.025e+03  +9e+04  1e-04  5e-04  5e-02  3e-01  0.5703  2e-01   2  1  1 |  0  0
 8  +3.345e+03  +3.234e+03  +6e+04  7e-05  3e-04  3e-02  2e-01  0.5101  4e-01   1  1  1 |  0  0
 9  +3.429e+03  +3.352e+03  +4e+04  5e-05  2e-04  2e-02  2e-01  0.5451  4e-01   1  1  1 |  0  0
10  +3.464e+03  +3.406e+03  +3e+04  4e-05  2e-04  1e-02  1e-01  0.4338  4e-01   1  1  1 |  0  0
11  +3.515e+03  +3.488e+03  +1e+04  2e-05  8e-05  5e-03  6e-02  0.6469  2e-01   1  1  1 |  0  0
12  +3.548e+03  +3.526e+03  +1e+04  1e-05  6e-05  4e-03  5e-02  0.4302  6e-01   1  1  1 |  0  0
13  +3.587e+03  +3.573e+03  +8e+03  8e-06  4e-05  2e-03  3e-02  0.5028  3e-01   1  1  1 |  0  0
14  +3.586e+03  +3.572e+03  +8e+03  8e-06  4e-05  2e-03  3e-02  0.0098  1e+00   1  1  1 |  0  0
15  +3.587e+03  +3.574e+03  +7e+03  8e-06  4e-05  2e-03  3e-02  0.1354  8e-01   1  1  1 |  0  0
